the_same_user_id,count_anonymous,url_dist,unique_url_dist,country_comp,same_browser_name,same_os_name,same_os_version,same_browser_version,same_device_name,same_device_category,comp_max_pages_per_hour,comp_med_pages_per_hour,comp_time,comp_dom_ips,comp_dom_providers,connection_comp
0.0,0,0.0,0.0,0.9,1.0,0.0,0.0,1.0,1.0,1.0,0.111111111111,0.111111111111,0.0,0.0,0.0,0.9
1.0,0,1.0,1.0,0.9,1.0,1.0,0.0,0.0,1.0,1.0,0.111111111111,0.25,0.0,1.0,1.0,0.9
0.0,0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,1.0,0.04,0.111111111111,0.0,0.0,0.0,0.9
1.0,0,1.0,1.0,0.9,1.0,1.0,0.0,0.0,1.0,1.0,0.111111111111,0.25,0.0,1.0,1.0,0.9
0.0,0,0.0,0.0,0.9,1.0,0.0,0.0,1.0,1.0,1.0,0.111111111111,0.25,0.0,0.0,0.0,0.9
0.0,0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9
0.0,0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,1.0,0.00826446280992,0.0277777777778,0.0,0.0,0.0,0.9
0.0,0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,1.0,0.00444444444444,0.111111111111,0.0,0.0,0.0,0.7
1.0,0,1.0,1.0,0.9,1.0,1.0,0.0,0.0,1.0,1.0,0.0123456790123,0.25,0.0,1.0,1.0,0.9
1.0,0,1.25,1.0,0.9,1.0,1.0,0.0,1.0,1.0,1.0,0.25,1.0,0.0,1.0,1.0,0.9
0.0,0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,1.0,0.00826446280992,0.0277777777778,0.0,0.0,0.0,0.9
0.0,0,0.0,0.0,0.9,0.0,1.0,0.0,0.0,1.0,1.0,0.00510204081633,0.111111111111,0.125,0.0,0.0,0.9
